Country,Population,Net Change,Migrants,Med Age,UrbanPop
China,1439323776,5540090,-348399,38,61
India,1380004385,13586631,-532687,28,35
United States,331002651,1937734,954806,38,83
Indonesia,273523615,2898047,-98955,30,56
Pakistan,220892340,4327022,-233379,23,35
Brazil,212559417,1509890,21200,33,88
Nigeria,206139589,5175990,-60000,18,52
Bangladesh,164689383,1643222,-369501,28,39
Russia,145934462,62206,182456,40,74
Mexico,128932753,1357224,-60000,29,84
Japan,126476461,-383840,71560,48,92
Ethiopia,114963588,2884858,30000,19,21
Philippines,109581078,1464463,-67152,26,47
Egypt,102334404,1946331,-38033,25,43
Vietnam,97338579,876473,-80000,32,38
DR Congo,89561403,2770836,23861,17,46
Turkey,84339067,909452,283922,32,76
Iran,83992949,1079043,-55000,32,76
Germany,83783942,266897,543822,46,76
Thailand,69799978,174396,19444,40,51
United Kingdom,67886011,355839,260650,40,83
France,65273511,143783,36527,42,82
Italy,60461826,-88249,148943,47,69
Tanzania,59734218,1728755,-40076,18,37
South Africa,59308690,750420,145405,28,67
Myanmar,54409800,364380,-163313,29,31
Kenya,53771296,1197323,-10000,20,28
South Korea,51269185,43877,11731,44,82
Colombia,50882891,543448,204796,31,80
Spain,46754778,18002,40000,45,80
Uganda,45741007,1471413,168694,17,26
Argentina,45195774,415097,4800,32,93
Algeria,43851044,797990,-10000,29,73
Sudan,43849260,1036022,-50000,20,35
Ukraine,43733762,-259876,10000,41,69
Iraq,40222493,912710,7834,21,73
Afghanistan,38928346,886592,-62920,18,25
Poland,37846611,-41157,-29395,42,60
Canada,37742154,331107,242032,41,81
Morocco,36910560,438791,-51419,30,64
Saudi Arabia,34813871,545343,134979,32,84
Uzbekistan,33469203,487487,-8863,28,50
Peru,32971854,461401,99069,31,79
Angola,32866272,1040977,6413,17,67
Malaysia,32365999,416222,50000,30,78
Mozambique,31255435,889399,-5000,18,38
Ghana,31072940,655084,-10000,22,57
Yemen,29825964,664042,-30000,20,38
Nepal,29136808,528098,41710,25,21
Venezuela,28435940,-79889,-653249,30,
Madagascar,27691018,721711,-1500,20,39
Cameroon,26545863,669483,-4800,19,56
Côte d'Ivoire,26378274,661730,-8000,19,51
North Korea,25778816,112655,-5403,35,63
Australia,25499884,296686,158246,38,86
Niger,24206644,895929,4000,15,17
Taiwan,23816775,42899,30001,42,79
Sri Lanka,21413249,89516,-97986,34,18
Burkina Faso,20903273,581895,-25000,18,31
Mali,20250833,592802,-40000,16,44
Romania,19237691,-126866,-73999,43,55
Malawi,19129952,501205,-16053,18,18
Chile,19116201,164163,111708,35,85
Kazakhstan,18776707,225280,-18000,31,58
Zambia,18383955,522925,-8000,18,45
Guatemala,17915568,334096,-9215,23,52
Ecuador,17643054,269392,36400,28,63
Syria,17500658,430523,-427391,26,60
Netherlands,17134872,37742,16000,43,92
Senegal,16743927,447563,-20000,19,49
Cambodia,16718965,232423,-30000,26,24
Chad,16425864,478988,2000,17,23
Somalia,15893222,450317,-40000,17,47
Zimbabwe,14862924,217456,-116858,19,38
